id,movie_id,award_id,type
1,1,1,nominated
2,1,2,won
3,2,3,won
4,2,4,won
5,3,2,won
6,4,5,won
7,4,4,nominated
8,5,6,nominated
9,5,4,nominated
10,5,7,nominated
11,6,5,nominated
12,6,4,nominated
13,6,7,nominated
14,7,5,nominated
15,7,7,nominated
16,12,5,nominated
17,12,4,nominated
18,12,7,nominated
19,13,5,nominated
20,16,5,nominated
21,18,12,nominated
22,19,4,nominated
23,21,4,nominated
24,23,14,nominated
25,28,3,won
26,28,14,won
27,28,14,nominated
28,30,3,won
29,30,14,won
30,30,14,nominated
31,30,14,nominated
32,30,8,nominated
33,30,9,nominated
34,31,3,won
35,31,14,won
36,31,14,nominated
37,31,9,nominated
38,31,10,nominated
39,32,3,won
40,32,14,won
41,32,14,nominated
42,32,14,nominated
43,33,11,won
44,33,14,won
45,34,11,nominated
46,35,14,nominated
47,36,11,nominated
48,37,14,won
49,40,14,nominated
50,42,13,nominated
51,43,13,nominated
52,44,13,nominated
53,48,13,nominated
54,49,13,nominated
55,49,14,nominated
56,49,14,nominated
57,50,14,nominated
58,52,13,nominated
59,53,13,won
60,53,14,won
61,54,13,won
62,55,13,won
63,56,13,nominated
64,56,14,nominated
65,57,13,nominated
66,58,14,nominated
67,59,13,nominated
68,60,13,won
69,60,3,nominated
70,60,14,nominated
