movie_id,genre_id
1,4
1,10
1,11
1,15
2,4
2,11
2,12
2,15
3,4
3,8
3,15
4,4
4,3
4,11
5,4
5,3
5,9
5,11
6,4
6,11
6,6
7,4
7,11
7,6
8,4
8,15
9,4
9,11
9,6
10,4
10,15
11,4
11,11
11,12
12,4
12,10
12,11
12,15
13,4
13,11
13,12
14,4
14,2
14,11
14,12
15,4
15,3
15,11
15,16
16,4
16,10
16,11
16,15
17,4
17,3
17,11
18,4
18,2
18,11
18,12
19,4
19,2
19,3
19,11
20,4
20,3
20,6
20,11
21,4
21,2
21,11
22,4
22,11
22,6
23,4
23,2
23,11
24,4
24,3
24,11
25,4
25,2
25,11
25,12
26,4
26,2
26,11
27,4
27,3
27,11
28,4
28,10
28,11
28,15
28,16
29,4
29,2
29,11
30,4
30,10
30,11
30,15
30,16
31,4
31,2
31,11
31,12
31,15
32,4
32,3
32,9
32,11
33,4
33,2
33,11
33,15
34,4
34,9
34,11
34,15
35,4
35,2
35,11
36,4
36,2
36,11
37,4
37,2
37,3
37,11
38,4
38,8
38,15
39,4
39,2
39,3
39,11
40,4
40,6
40,11
41,4
41,2
41,11
41,17
42,4
42,6
42,11
43,4
43,2
43,11
43,17
44,4
44,2
44,3
44,11
45,4
45,3
45,6
45,11
46,4
46,6
46,11
47,4
47,6
47,11
47,17
48,4
48,2
48,11
49,4
49,10
49,11
49,15
50,4
50,2
50,10
50,11
50,15
51,4
51,11
51,6
52,4
52,1
52,6
52,11
52,17
53,4
53,10
53,11
53,15
54,4
54,1
54,11
54,17
55,4
55,6
55,11
56,4
56,2
56,11
56,15
57,4
57,6
57,11
57,17
58,4
58,2
58,11
58,15
59,4
59,2
59,11
60,4
60,11
60,15
61,4
61,2
61,11
61,17
62,4
62,10
62,11
62,15
63,4
63,2
63,11
